,tols,Sensitivity,Specificity
se0.6,0.6937206387519836,0.5989583333333334,0.864406779661017
se0.7,0.5802798867225647,0.6979166666666666,0.8135593220338984
se0.8,0.36676472425460815,0.78125,0.6440677966101696
se0.9,0.08759129792451859,0.9010416666666666,0.3728813559322034
sp0.6,0.21122810244560242,0.859375,0.5932203389830508
sp0.7,0.4087839126586914,0.7708333333333334,0.6779661016949152
sp0.8,0.5802798867225647,0.6979166666666666,0.8135593220338984
sp0.9,0.7778128981590271,0.5520833333333334,0.8983050847457628
chi2,0.5851725339889526,0.6875,0.8135593220338984
Youden,0.5924384593963623,0.6875,0.8305084745762712
CZ,0.5924384593963623,0.6875,0.8305084745762712
